Id;NAME;DEGREE;DEP-DEGREE;CC;ONE-WAY-DEPENDENCY;ONE-WAY-INDEPENDENCY;TWO-WAY-DEPENDENCY;TWO-WAY-INDEPENDENCY;OVERLAPNESS;ZONE-ID;ZONE-SIZE;ZONE-CATEGORY;ZONE-DENSITY;MEMBERSHIP;INNER-MEMBERSHIP;LIAISONSHIP;CO-LIAISONSHIP;SUPER;SUB;OVERLAP;ZONE-MODULARITY
218;Bill MacCartney .S.;2;0,362705512572534;1;2;0;0;0;0;159;3;BOTTOM;1;3;2;0;0;2;0;0;0,296220408334905
221;Sebastian Thrun .S.;9;2,67123845484956;0,111111111111111;0;3;0;6;1;160;6;TOP;0,333333333333333;10;0;9;0;0;3;6;0,146402570926339
227;Stephen H. Bach .S.;1;0,0178571428571429;0;1;0;0;0;0;161;2;BOTTOM;1;2;1;0;0;1;0;0;0,0126269068069027
230;Abe Davis .S.;2;0,175925925925926;1;2;0;0;0;0;162;3;BOTTOM;1;4;3;0;0;3;0;0;0,0601793005265147
236;Mingyu Gao .S.;4;0,475635960265147;0,666666666666667;2;0;0;2;0;163;3;INDEPENDENT;1;3;2;0;0;0;0;0;0,3068576597602
237;Animesh Garg .S.;7;1,82975087476694;0,333333333333333;0;1;0;6;1;164;5;INTER;0,5;3;0;2;0;1;0;0;0,178938355376902
239;Jonathan Huang .S.;6;2,423489095365;0,666666666666667;1;1;1;3;0,5;114;6;INTER;0,733333333333333;3;1;0;1;1;1;0;0,43965567698597
240;Guy Katz .S.;3;1,46232997703586;1;2;1;0;0;0,5;165;6;INTER;0,533333333333333;3;1;0;1;1;0;0;0,326856784725229
241;Srijan Kumar .S.;2;0,377950564698946;1;2;0;0;0;0;166;3;BOTTOM;1;3;2;0;0;2;0;0;0,252538136138053
243;Cristian Mattarei .S.;1;0,0540540540540541;0;1;0;0;0;0;167;2;BOTTOM;1;2;1;0;0;1;0;0;0,0382219881722458
245;Baharan Mirzasoleiman .S.;1;0,0178571428571429;0;1;0;0;0;0;168;2;BOTTOM;1;2;1;0;0;1;0;0;0,0126269068069027
249;Frederic Sala .S.;1;0,0175438596491228;0;1;0;0;0;0;169;2;BOTTOM;1;2;1;0;0;1;0;0;0,0124053821260798
250;Virginia Smith .S.;4;0,445270415858651;0,333333333333333;1;0;0;3;0;170;2;BOTTOM;1;2;1;0;0;1;0;0;0,0172465068582085
252;Vivek Srikumar .S.;1;0,0416666666666667;0;1;0;0;0;0;171;2;BOTTOM;1;2;1;0;0;1;0;0;0,0294627825494395
257;Amir Roshan Zamir .S.;3;0,624492765459864;1;2;0;0;1;0;172;3;BOTTOM;1;3;2;0;0;2;0;0;0,172600867848685
258;Pengyu Zhang .S.;1;0,117647058823529;0;1;0;0;0;0;173;2;BOTTOM;1;3;2;0;0;2;0;0;0,0831890330807703
259;Marinka Zitnik .S.;3;0,917774568555096;0,666666666666667;2;0;1;0;0;174;4;BOTTOM;0,833333333333333;3;2;0;0;2;0;0;0,363074706679473
261;Tal Garfinkel .S.;5;1,01301910872282;0,7;2;0;0;3;0;175;3;BOTTOM;1;3;2;0;0;2;0;0;0,186080731891197
262;Patrick Goebel .S.;1;0,0294117647058824;0;1;0;0;0;0;176;2;BOTTOM;1;2;1;0;0;1;0;0;0,0207972582701926
263;Andreas Paepcke .S.;6;1,46387996192225;0,4;1;1;0;4;0,666666666666667;177;3;BOTTOM;1;3;1;0;1;1;0;0;0,320893924461563
264;Rok Sosic .S.;2;0,749049410734193;1;1;0;1;0;0;174;4;BOTTOM;0,833333333333333;3;2;0;0;2;0;0;0,363074706679473
265;Edward J. McCluskey .S.;2;1,07894736842105;0;0;1;1;0;0,666666666666667;111;6;TOP;0,333333333333333;3;0;2;0;0;1;1;0,49490293431973
267;Rajeev Motwani .S.;11;2,57437523745704;0,163636363636364;0;1;0;10;1;178;3;TOP;0,666666666666667;2;0;1;0;0;0;0;0,226666666666667
268;Gene H. Golub .S.;2;0,0502450980392157;0;2;0;0;0;0;179;3;BOTTOM;0,666666666666667;3;2;0;0;2;0;0;0,0172465068582085
269;Robert W. Floyd .S.;4;0,785098303190408;0,5;1;1;0;2;0,666666666666667;180;4;INTER;0,5;5;2;2;0;2;1;1;0,180789792243898
